#,HAuCl4,PVP,Glucose,NaOH,Time,A450,WL,FWHM,R,std
1,19.36,20.00,9.78,19.94,3.09,0.17,520.50,118.00,6.42,0.00168 0.5     0.      0.17   
2,9.86,7.80,5.33,11.35,8.56,0.07,525.00,117.00,5.64,0.003845 0.       1.       0.015   
3,9.63,13.45,4.30,8.72,9.91,0.02,522.00,119.00,4.74,9.10e-04 1.00e+00 3.00e+00 7.55e-01
4,12.24,19.52,19.21,19.79,5.68,0.11,526.50,120.00,5.36,1.26e-03 5.00e-01 2.00e+00 4.65e-01
5,11.48,18.98,19.88,19.14,6.06,0.10,529.00,129.00,4.40,0.00464 1.      1.      0.195  
6,4.24,5.07,14.26,18.03,3.84,0.04,553.50,191.00,1.48,0.00163 0.5     1.      0.     
7,9.19,18.46,18.48,19.99,4.72,0.08,528.50,129.00,4.68,1.225e-03 1.500e+00 7.000e+00 7.650e-01
8,15.89,9.83,15.54,4.56,6.95,0.00,0.00,470.00,0.00,0 0 0 0
9,10.69,19.31,20.00,19.73,6.42,0.09,529.50,127.00,4.59,1.07e-03 2.50e+00 3.00e+00 4.80e-01
10,6.67,16.22,7.76,15.63,9.79,0.03,523.00,124.00,5.69,0.00254 0.      0.      0.25   
11,11.20,19.79,19.85,20.00,6.73,0.10,527.00,126.00,5.02,2.08e-03 1.00e+00 4.00e+00 6.55e-01
12,14.51,14.47,11.87,13.39,7.97,0.08,524.50,121.00,5.00,0.00233 0.5     1.      0.12   
13,10.38,19.60,19.65,19.35,6.24,0.08,529.00,129.00,4.50,4.85e-04 1.00e+00 1.00e+00 2.85e-01
14,16.81,4.07,6.54,8.00,2.18,0.01,583.50,223.00,0.78,1.135e-03 5.000e-01 7.000e+00 0.000e+00
15,9.55,17.88,19.42,19.73,6.05,0.08,532.00,128.00,4.35,2.895e-03 3.000e+00 6.000e+00 9.150e-01
16,5.60,15.42,17.15,7.18,9.18,0.03,534.50,180.00,2.33,1.24e-03 1.50e+00 2.00e+00 5.00e-03
17,10.53,18.90,18.97,19.97,6.25,0.07,534.50,133.00,3.66,0.00482 1.5     1.      0.245  
18,7.69,11.61,7.06,17.03,6.37,0.03,529.00,131.00,4.26,2.395e-03 0.000e+00 3.000e+00 1.500e-01
19,10.27,18.67,20.00,20.00,5.95,0.08,532.00,128.00,4.48,9.85e-04 3.00e+00 8.00e+00 9.90e-01
20,13.71,5.59,10.82,6.16,2.63,0.00,598.50,214.00,0.62,1.915e-03 3.500e+00 4.000e+00 1.650e-01
21,4.04,5.08,14.27,18.04,3.83,0.04,550.50,184.00,1.54,3.40e-03 5.00e-01 6.00e+00 1.05e-01
22,19.04,6.89,8.82,10.43,4.38,0.05,533.50,152.00,2.89,1.75e-04 5.00e-01 4.00e+00 1.10e-01
23,10.00,19.16,19.61,19.97,5.72,0.08,531.50,121.00,4.95,1.945e-03 1.500e+00 3.000e+00 4.700e-01
24,15.45,10.54,16.34,17.58,5.21,0.11,540.00,136.00,3.07,2.8e-04 1.0e+00 2.0e+00 2.5e-01
25,18.02,4.66,11.28,9.62,3.53,0.08,544.50,139.00,2.40,0.010605 0.5      3.       0.19    
26,10.09,19.69,19.60,19.69,6.45,0.08,535.00,126.00,4.38,1.585e-03 0.000e+00 4.000e+00 4.000e-01
27,15.19,14.91,4.98,15.10,5.87,0.08,521.50,123.00,5.33,1.3e-04 5.0e-01 1.0e+00 3.0e-02
28,17.41,8.98,14.84,5.39,6.01,0.01,608.00,272.00,1.21,0. 0. 0. 0.
29,16.20,5.40,7.78,8.32,2.75,0.03,552.50,195.00,1.50,6.405e-03 3.500e+00 1.300e+01 1.750e-01
30,4.92,12.52,17.62,14.27,8.15,0.04,543.50,156.00,2.29,3.95e-04 1.50e+00 0.00e+00 1.20e-01
31,6.85,17.34,17.91,19.39,6.24,0.06,536.50,140.00,3.14,0.003005 0.5      2.       0.01    
32,12.97,13.11,5.76,16.14,4.08,0.06,522.50,128.00,4.54,0.00385 0.5     0.      0.065  
33,19.39,13.95,7.40,11.58,4.25,0.04,525.50,176.00,2.70,2.555e-03 5.000e-01 4.000e+00 3.000e-02
34,8.14,8.10,13.18,12.58,9.04,0.07,545.00,138.00,2.70,1.45e-04 1.00e+00 4.00e+00 1.35e-01
35,5.86,5.97,6.81,13.01,7.47,0.03,546.50,136.00,2.52,1.415e-03 1.500e+00 0.000e+00 1.250e-01
36,9.48,8.53,12.47,16.46,9.50,0.08,542.00,136.00,2.88,0.00551 1.      2.      0.065  
37,9.48,16.67,10.33,4.93,8.78,0.00,605.50,204.00,0.89,3.75e-04 2.55e+01 3.40e+01 1.70e-01
38,5.33,11.32,8.16,4.04,5.51,0.00,0.00,470.00,0.00,0 0 0 0
39,16.62,4.04,9.30,6.71,2.32,0.01,600.00,275.00,0.53,2.125e-03 2.100e+01 5.000e+00 1.000e-01
40,19.63,7.33,14.38,12.12,4.95,0.13,541.00,138.00,2.61,0.00711 2.      2.      0.23   
41,7.19,18.83,7.44,5.29,9.19,0.01,522.50,127.00,4.44,1.335e-03 5.000e-01 2.100e+01 1.190e+00
42,18.41,6.47,13.81,9.15,2.73,0.06,543.50,166.00,1.88,0.00375 0.5     2.      0.04   
43,17.97,10.65,4.69,13.64,4.36,0.02,524.00,145.00,3.91,0.00466 0.      1.      0.15   
44,14.90,11.05,16.66,18.37,5.36,0.11,541.00,134.00,3.19,1.775e-03 0.000e+00 6.000e+00 4.400e-01
45,8.74,17.26,9.49,9.95,7.23,0.03,526.50,121.00,5.13,2.45e-04 2.50e+00 5.00e+00 8.40e-01
46,19.98,12.26,16.01,12.88,8.38,0.11,533.00,126.00,3.78,0.00397 2.      2.      0.165  
47,18.28,14.05,7.93,14.90,4.31,0.06,524.00,120.00,7.06,8.500e-05 1.000e+00 0.000e+00 1.595e+00
48,13.39,15.75,6.31,10.94,7.08,0.03,520.50,133.00,4.44,0.003435 2.5      3.       0.455   
49,16.46,11.29,17.69,17.71,5.69,0.10,541.00,135.00,3.10,0.009285 4.       1.       0.185   
50,14.34,10.30,17.40,18.73,5.13,0.11,545.50,137.00,2.72,0.00848 0.5     1.      0.105  
51,16.94,11.88,14.23,6.35,6.02,0.01,611.50,194.00,1.19,1.15e-04 4.45e+01 3.00e+01 2.40e-01
52,6.27,4.37,7.71,15.35,7.61,0.05,554.50,143.00,2.09,0.001425 0.5      1.       0.1     
53,5.49,12.30,16.65,17.40,7.45,0.05,547.00,141.00,2.92,1.75e-03 4.00e+00 3.00e+00 4.90e-01
54,4.41,12.85,14.51,4.16,3.30,0.02,542.50,143.00,4.96,5.105e-03 4.500e+00 2.700e+01 2.225e+00
55,14.06,14.75,5.53,5.65,7.44,0.00,0.00,470.00,0.00,0 0 0 0
56,19.46,9.44,6.11,7.48,8.20,0.00,712.00,374.00,0.59,0. 0. 0. 0.
57,15.23,10.85,16.63,18.92,5.32,0.12,546.00,140.00,2.72,0.00309 0.      2.      0.15   
58,7.39,13.24,12.17,16.68,7.78,0.06,542.00,147.00,3.39,0.00275 1.      1.      0.04   
59,14.72,11.97,5.18,10.65,6.88,0.02,536.00,163.00,2.60,4.63e-03 2.10e+01 9.00e+00 1.85e-01
60,7.97,16.38,15.13,7.73,9.70,0.05,547.00,152.00,3.01,0.00443 3.      0.      0.28   
61,16.84,15.38,10.86,16.49,7.65,0.07,526.00,148.00,3.97,2.005e-03 1.000e+00 6.000e+00 3.900e-01
62,11.78,4.44,13.53,14.14,9.36,0.13,557.00,150.00,1.76,1.325e-03 1.000e+00 2.000e+00 5.500e-02
63,16.02,10.63,15.64,18.60,5.47,0.12,540.00,155.00,2.64,1.915e-03 2.000e+00 3.000e+00 4.000e-02
64,12.67,19.67,8.99,8.93,2.02,0.04,579.50,151.00,1.47,0.010895 4.5      9.       0.21    
65,8.41,17.75,16.99,5.95,6.57,0.07,525.50,124.00,4.78,0.003795 2.5      0.       0.155   
