#,HAuCl4,PVP,Glucose,NaOH,Time,A450,R,FWHM,WL,std
31,5.02,18.07,18.55,13.4,7.98,0.02516,8.8,118,517,0.000185 0.125    0.       0.      
32,9.67,8.59,5.95,12.43,8.82,0.04476,6.74,125,517.5,1.795e-03 8.850e-01 7.000e+00 5.000e-01
33,12.57,5.76,12.41,6.22,4.3,0.02476,3.05,184,518,0. 0. 0. 0.
34,17.12,14.02,8.93,10.64,6.05,0.05602,3.71,181,515.5,1.099e-02 8.100e-01 2.700e+01 5.000e-01
35,18.01,12.4,11.02,9.36,7.12,0.04074,2.8,258,522.5,2.2975e-02 1.3450e+00 9.4000e+01 7.5000e+00
36,12.87,9.35,13.62,18.37,5.47,0.0898,7.42,116,517,0.000275 0.215    0.       0.      
37,10.2,6.72,12.85,14.47,6.63,0.07395,8.18,115,517,2.5e-04 5.0e-03 1.0e+00 0.0e+00
38,15.48,16.79,9.55,10.82,3.72,0.05074,3.8,172,515.5,2.45e-04 5.00e-03 0.00e+00 5.00e-01
39,17.06,11.02,5.95,7.6,5.5,0.03094,2.33,226,520,0. 0. 0. 0.
40,6.08,12.81,14.8,17.91,3.25,0.03285,7.27,122,516.5,0.00086 0.38    0.      0.5    
41,8.48,15.39,4.39,19.15,8.96,0.03867,7.68,119,516,0.00171 0.075   1.      0.     
42,16.33,8.26,14.72,7.1,4.91,0.03774,2.92,208,514,0. 0. 0. 0.
43,17.98,9.33,9.06,9.88,3.99,0.02734,1.8,292,521,0. 0. 0. 0.
44,11.22,7.91,6.81,15.68,2.84,0.04077,4.35,162,514,1.04e-03 1.15e-01 4.00e+00 0.00e+00
45,7.5,10.47,17.23,10.34,4.52,0.04448,7.63,122,515.5,9.1e-04 1.4e-01 2.0e+00 5.0e-01
46,14.17,16.01,10.57,12.85,9.31,0.08532,7.31,121,515.5,0.00138 0.02    1.      0.5    
47,9.47,11.58,8.45,11.64,9.52,0.05482,7.69,119,515.5,4.e-05 4.e-02 1.e+00 5.e-01
48,15.22,18.6,4.77,13.88,6.91,0.06269,4.92,146,516,7.1e-04 9.5e-02 4.0e+00 1.0e+00
49,5.34,19.25,16.98,16.31,7.83,0.02639,7.9,118,516.5,2.50e-04 7.45e-01 0.00e+00 5.00e-01
50,6.91,9.76,8.66,5.92,9.66,0.02066,5.6,139,517,6.125e-03 1.825e+00 1.900e+01 1.000e+00
51,6.32,13.72,17.98,9.59,4.32,0.02992,6.92,125,516,0.001835 0.085    1.       0.      
52,14.71,14.2,15.68,14.82,8.62,0.10308,7.62,117,516.5,7.7e-04 6.5e-02 1.0e+00 5.0e-01
53,19.51,6.88,11.81,9.09,3.1,0.03856,2.63,222,516,0. 0. 0. 0.
54,10.51,10.62,5.66,17.07,3.19,0.03816,4.34,154,515,0. 0. 0. 0.
55,10.37,17.67,16.27,7.39,9.83,0.05707,7.72,120,515.5,3.0e-04 1.5e-02 0.0e+00 5.0e-01
56,6.76,9.09,7.16,7.27,5.4,0.02017,4.12,153,516.5,1.815e-03 5.500e-01 1.300e+01 5.000e-01
57,15.83,11.8,14.51,10.15,3.58,0.0521,3.4,184,515.5,8.34e-03 4.30e-01 2.00e+01 1.50e+00
58,8.64,17.05,6.25,14.2,6.51,0.03825,6.66,129,515.5,1.85e-04 4.65e-01 3.00e+00 5.00e-01
59,19.3,6.19,11.62,16.57,2.52,0.07407,4.19,156,517,0.0021 0.07   2.     0.    
60,5.89,15.04,18.24,11.33,8.11,0.033,7.9,120,516,0.002495 0.055    2.       1.      
